"id","clubName","clubID","clubCity","clubEmail","clubWebsite","clubPhone"
"1","Groninger Boys","BBBF89Y","GRONINGEN","nout@hetnet.nl","http://www.vvgroningerboys.nl","0650661386"
"2","RZV Tiel'85","FJKM62L","CULEMBORG","tomalesi@gmail.com",,"06-50504502"
"3","FC Kraggenburg","BBBG62Q","KRAGGENBURG","secretaris@fckraggenburg.nl","http://www.fckraggenburg.nl","0641493873"
"4","GeuzenMiddenmeer","BBCY28F","AMSTERDAM","johanboone11@gmail.com","https://www.geuzenmiddenmeer.nl/","06-47409733"
"5","Pelikaan S","BBBG25H","OOSTWOLD WESTERKWARTIER","errietvandijk@gmail.com","http://www.pelikaan-s.nl","06-28466293"
"6","AZVN","BBKX749","NUNSPEET","info@azvn.nl","http://www.azvn.nl","0341-261223"
"7","Honselersdijk","BBGV859","HONSELERSDIJK","beheer@svhonselersdijk.nl","http://www.svhonselersdijk.nl","0174-626272"
"8","RKDEO","BBGY186","NOOTDORP","hans.van.noppen61@gmail.com","http://www.rkdeo.nl",
"9","Victoria O","BBFX14O","OBDAM","maxdekker93@gmail.com","http://www.victoria-o.nl",
"10","Aarlanderveen","BBDX02Z","AARLANDERVEEN","svaarlanderveen@casema.nl","http://www.svaarlanderveen.nl","06-15233117"
"11","EEC","BBBF27E","EES","hhermelink@home.nl","http://www.vveec.nl","0599-235162"
"12","Wilsum","BBKT156","WILSUM","marjotenbrinke@hotmail.com","http://www.vvwilsum.nl","038-3557474"
"13","Bergeijk","BBHV498","BERGEIJK","secretariaat@rkvvbergeijk.nl","http://www.rkvvbergeijk.nl","06-53271261"
"14","TVO","BBKS12W","HENGELO OV","alfred.damhuis@gmail.com","http://www.tvovoetbal.nl","06-53170455"
"15","JZV","STGN717","KROMMENIE","t.bleeker5@upcmail.nl",,
"16","Buurse","BBKT33A","HAAKSBERGEN","secretariaat@vvbuurse.nl","http://vvbuurse.nl",
"17","Mariahout","BBHW323","MARIAHOUT","frank@vvmariahout.nl","http://www.vvmariahout.nl","06-29273296"
"18","FC IJsselmonde","SLTK944","ROTTERDAM ","secretaris@fcijsselmonde.nl","http://www.fcijsselmonde.nl","0104820499"
"19","Oranje Nassau","BBKV07B","ALMELO","bestuur@oranjenassaualmelo.nl","http://www.oranjenassaualmelo.nl/",
"20","VVSB","BBGX72D","NOORDWIJKERHOUT","info@vvsb.nl","http://www.vvsb.nl","06-53743196"
"21","zv Libertas","SSTQ14J","DRIEZUM","j.dantuma1@knid.nl","https://www.zvlibertas.nl","0511-424667"
"22","Xing Futsal","GBTC852","ASSEN","mgroenewold@home.nl",,"0647554395"
"23","Grenswachters","BBJH41C","PUTTE","secretaris@vvgrenswachters.nl","http://www.vvgrenswachters.nl","06-57505054"
"24","Were Di","BBJJ42N","TILBURG","secretaris@rksvweredi.nl","http://www.rksvweredi.nl",
"25","SC Loppersum","BBBG068","LOPPERSUM","knoop33@zonnet.nl","http://www.scloppersum.nl","06-55125159"
"26","ODIO","BBJH06Z","OSSENDRECHT","secretaris@odio.info","http://www.odioossendrecht.nl","06-20324625"
"27","TOSS","BBBG34J","LEEUWARDEN","j_tamminga@hotmail.com","http://www.zaalvoetbalverenigingtoss.nl","058-2574059"
"28","SV Milsbeek","BBJX38S","MILSBEEK","wenwberns@home.nl","http://www.svmilsbeek.nl","06-30154352"
"29","DKM z.v.v./ By The Way Reclame","MBHY50Y","WIERINGERWAARD","j.breed@quicknet.nl",,"0224-221744"
"30","v.v. Twenthe","BBKV66W","GOOR","secretaris@vvtwenthe.nl","http://www.vvtwenthe.nl","0547-262044"
"31","SJO Ens/Kraggenburg","SQJS91Q","KRAGGENBURG","secretaris@svensvoetbal.nl",,"0561431555"
"32","Prinsland","MFBL44U","DINTELOORD","jurgenhuijbregts@hotmail.com",,"0167-522408"
"33","SETA","BBBJ65A","MUSSELKANAAL","penningmeester@vv-seta.net","http://www.vv-seta.net","0629126337"
"34","FC Schadewijk","BBHY55M","OSS","secr.fcschadewijk@gmail.com","http://1980926.cm42rcmp.widgets-hosting.hostnet.nl","0412-631986"
"35","Waskemeer","BBBN025","WASKEMEER","j.wagenaar24@ziggo.nl","http://www.vvwaskemeer.nl","0516-422526"
"36","Juventa '12","PJQV32P","WIERDEN","secretaris@juventa12.nl","http://www.juventa12.nl",
"37","Hollandscheveld","BBBF36G","HOLLANDSCHEVELD","secretaris@vvhollandscheveld.nl","http://www.vvhollandscheveld.nl/site","06-46960256"
"38","Zaalvoetbal Boxtel","FQZS898","BOXTEL","gamvdbrand@gmail.com",,
"39","Drachten","BBBH35P","DRACHTEN","secretaris@vvdrachten.nl","http://www.vvdrachten.nl","0512-525073"
"40","Madese Boys","BBJH67O","MADE","fam.w.broeders@ziggo.nl","http://www.madeseboys.nl",
"41","Limmen","BBFZ70O","LIMMEN","pw.van.kessel@hetnet.nl","http://www.vvlimmen.nl","072-5052567"
"42","METO","BBHX214","HOOGERHEIDE","info@rkvvmeto.nl","http://www.rkvvmeto.nl","06-42335224"
"43","Team Vos","BBCB293","HUIZEN","karelkoopman@hotmail.com",,"06-53147240"
"44","Wilhelmina'26","BBJD09I","WIJK EN AALBURG","info@wilhelmina26.nl","http://www.wilhelmina26.nl","0416-691682"
"45","Nieuweschans","BBBB52W","BAD NIEUWESCHANS","micheltopelen@hotmail.com","http://www.vvnieuweschans.nl","0615207602"
"46","ESA","BBKX13O","ARNHEM","bestuur@esa-rijkerswoerd.nl","http://www.esa-rijkerswoerd.nl","026-3270523"
"47","WV-HEDW","BBCZ37M","AMSTERDAM","secretaris@wvhedw.nl","http://www.wvhedw.nl","020-6903105"
"48","RKSVB","BBJV20H","VOERENDAAL",,,
"49","Terschuurse Boys","BBBZ72M","TERSCHUUR","secretaris@terschuurseboys.nl","http://www.terschuurseboys.nl","0627387680"
"50","Vliegdorp 't vv","FZXX85C","HUIS TER HEIDE UT","secretariaat@vliegdorp.nl","http://www.vliegdorp.nl","0346-330850"
"51","TOGB","BBDY967","BERKEL EN RODENRIJS","wilvanvelzen@hetnet.nl","http://www.togb.nl/voetbal","010-5113701"
"52","CDW","BBCC15Z","WIJK BIJ DUURSTEDE","secretaris@cdw.nl","http://www.cdw.nl","0343-575095"
